pkg,bun_t1_ms,rb_t1_ms,bun_t2_ms,rb_t2_ms,bun_t3_ms,rb_t3_ms,ratio_t2,ratio_t3
lodash,13,8,65,202,48,198,3.11,4.12
chalk,10,4,35,11,35,10,0.31,0.29
commander,10,4,39,26,39,27,0.67,0.69
debug,12,4,46,11,39,10,0.24,0.26
ms,11,4,34,5,45,6,0.15,0.13
minimist,16,6,34,6,30,6,0.18,0.20
semver,11,4,65,1692,44,1692,26.03,38.45
glob,12,4,49,69,36,69,1.41,1.92
uuid,11,4,42,11,33,11,0.26,0.33
pino,11,4,94,38,59,36,0.40,0.61
@faker-js/faker,11,4,377,2772,305,2759,7.35,9.05
@hapi/boom,11,4,52,18,36,17,0.35,0.47
acorn-jsx,11,4,53,85,39,86,1.60,2.21
ansi-colors,11,4,34,9,30,9,0.26,0.30
async-iterator-to-stream,11,4,64,5,45,5,0.08,0.11
big-integer,13,4,42,38,36,38,0.90,1.06
@databases/sql,11,4,37,6,29,6,0.16,0.21
@opentelemetry/api,11,4,91,49,43,20,0.54,0.47
@opentelemetry/core,11,4,154,124,68,51,0.81,0.75
abort-controller,11,4,28,17,27,8,0.61,0.30
@jridgewell/resolve-uri,11,4,39,7,29,7,0.18,0.24
@xstate/fsm,11,4,40,6,30,6,0.15,0.20
ajv,11,4,114,85,65,80,0.75,1.23
ajv-formats,11,4,120,99,73,100,0.82,1.37
binary-extensions,13,4,32,5,28,5,0.16,0.18
buffer,11,4,28,4,27,4,0.14,0.15
color-convert,12,4,47,32,36,32,0.68,0.89
color-name,11,4,32,6,30,6,0.19,0.20
@actions/http-client,12,4,61,-1,-1,-1,0.00,0.00
@databases/pg,11,4,255,8,115,8,0.03,0.07
@dotenvx/dotenvx,12,4,200,1178,114,1149,5.89,10.08
@jest/expect,12,4,643,4166,261,4137,6.48,15.85
nx,12,4,-1,-1,-1,-1,0.00,0.00
@noble/ciphers,11,4,33,4,28,4,0.12,0.14
@noble/curves,12,4,39,4,29,4,0.10,0.14
@noble/hashes,12,4,37,4,29,4,0.11,0.14
@types/node,16,6,49,6,32,4,0.12,0.12
ast-types-flow,12,4,34,10,28,10,0.29,0.36
later,11,4,41,20,31,20,0.49,0.65
proxyquire,11,4,82,36,51,36,0.44,0.71
sentry,11,4,260,12955,163,12947,49.83,79.43
entities,11,4,48,-1,-1,-1,0.00,0.00
htmlparser2,13,6,72,-1,-1,-1,0.00,0.00
